opID, oppName, Company, Comitee,  DayCreated, TotalApplicants, openApplicants, rejected, favourite, withdrawn
1093400,Analista Contable Senior,Fresenius Medical Care,USMA,2019-03-21,14,2,2,9,1
1053102,Financial Business Analyst CDC,Fresenius Medical Care,USMA,2018-12-13,87,12,33,31,11
1022570,Financial Planning and Analysis Analyst,DELL Panama- S.A.,UTP,2018-10-19,223,55,102,40,26
1075071,Service Solution Assistant - APOS Team,DELL Panama- S.A.,UTP,2019-03-05,62,16,26,18,2
1075089,Service Solution Assistant - APOS Team,DELL Panama- S.A.,UTP,2019-03-05,70,10,33,24,3
1075100,Service Solution Assistant - APOS Team,DELL Panama- S.A.,UTP,2019-03-05,27,18,0,8,1
1075119,Service Solution Assistant - APOS Team ,DELL Panama- S.A.,UTP,2019-03-05,38,21,0,15,2
1120353,Sales Support,DELL Panama- S.A.,UTP,2019-04-15,44,34,1,8,1
1129413,Internal Communication Intern,DELL Panama- S.A.,UTP,2019-04-23,18,18,0,0,0
1050902,Regulatory Excellence Support ,Sanofi Aventis,USMA,2018-12-06,44,17,2,17,8
1047257,Regulatory Excellence Support ,Sanofi Aventis,USMA,2018-11-27,30,10,6,10,4
1063871,Communications Pacific & Caribbean,Sanofi Aventis,USMA,2019-02-12,57,17,10,23,7
1063451,Communication Pacific & Caribbean,Sanofi Aventis,USMA,2019-02-11,39,30,1,0,8
1083409,Retail One Sanofi Assistant,Sanofi Aventis,USMA,2019-03-12,79,75,1,0,3
1089543,Procurement Support Specialist,NESTLÉ,UTP,2019-03-18,124,88,6,24,6
1089445,Procurement Support Specialist,NESTLÉ,UTP,2019-03-18,66,48,1,15,2
1094197,Contador de Costos ,NESTLÉ,UTP,2019-03-22,28,12,3,11,2
1097472,Accounting Coordinator ,NESTLE,UTP,2019-03-25,31,18,4,9,0
1123309,Contador de Costos,NESTLÉ,UTP,2019-04-17,12,9,0,3,0
1093439,G4S Way of Selling PM,G4S,USMA,2019-03-21,87,17,3,66,1
1123326,MARKETING ASSISTANT,Janssen,UTP,2019-04-17,60,54,0,5,1
1108913,Analytics and Planning Executive,Cheil,BALBOA,2019-04-04,6,6,0,0,0
1092426,Supply Chain Intern,Signify N.V,UTP,2019-03-20,210,112,75,16,7
1069304,Warehouse Regional Business Process Expert,HILTI,USMA,2019-02-26,15,10,2,3,0
1084922,Sourcing Trainee,HILTI,USMA,2019-03-14,2,1,0,1,0
1111820,Tech Support / Helpdesk,Panalpina,USMA,2019-04-07,2,1,0,1,0
