opID, oppName, Company, Comitee,  DayCreated, TotalApplicants, openApplicants, rejected, withdrawn, approval
1095810,Protégeme | Improve Project | Ángeles con Colita,Asociación Nueva vida,CHIRIQUI,2019-03-24,1,0,1,0,0
1097536,MARKETING | Improve Project | Ángeles con Colita,Asociación Nueva vida,CHIRIQUI,2019-03-25,0,0,0,0,0
1086866,Improving With Love | Ojitos de Amor | IMPROVE ,Chiriqui,CHIRIQUI,2019-03-15,0,0,0,0,0
1082842,Digital Marketing & Community Manager,Asociación EcoStudio,UP (University of Panama),2019-03-12,2,1,1,0,0
1084472,Improve Project | Marketing ,Fundación Calicanto Panamá,UP (University of Panama),2019-03-13,5,1,4,0,0
1084622,Improve Project |Management Eco Creando,Eco Creando,UP (University of Panama),2019-03-13,2,2,0,0,0
1084653,Improve Project |Administration Eco Creando,Eco Creando,UP (University of Panama),2019-03-13,0,0,0,0,0
1084503,Administration - IMPROVE ,Fundación Escena Circo Panamá,UP (University of Panama),2019-03-13,0,0,0,0,0
1084671,Improve | Photography- Content Creation & Community MGMT,Eco Creando,UP (University of Panama),2019-03-13,3,0,3,0,0
1084679,Improve Project |Management Eco Creando ,Eco Creando,UP (University of Panama),2019-03-13,1,0,1,0,0
1086978,Improve Project |Administration Eco Creando ,Eco Creando,UP (University of Panama),2019-03-16,0,0,0,0,0
1087066,Improve Project |Administrative | Juntos Podemos Curundu,Panama City,UP (University of Panama),2019-03-16,2,0,2,0,0
1076614,Improve Project |Human Resources | Juntos Podemos Curundu,Panama City,UP (University of Panama),2019-03-06,1,0,1,0,0
1039960,Fundraising | Improve | APLAFA Panama,APLAFA Panama,UTP,2018-11-14,0,0,0,0,0
1039962,Marketing | Improve | APLAFA,APLAFA Panama,UTP,2018-11-14,1,0,1,0,0
1039968,Human Resources | Improve | APLAFA,APLAFA Panama,UTP,2018-11-14,1,0,1,0,0
1040021,French Teacher | Centro de Innovación,Centro de Innovacion,UTP,2018-11-14,4,0,4,0,0
1040023,Digital Marketing | Improve | Centro de Innovacion,Centro de Innovacion,UTP,2018-11-14,3,0,2,1,0
1040027,English Teacher | Centro de Innovacion,Centro de Innovacion,UTP,2018-11-14,6,1,4,1,0
1040029,Portuguese classes | Centro de Innovacion,Centro de Innovacion,UTP,2018-11-14,4,0,3,1,0
1040031,Marketing | Centro de Innovación,Centro de Innovacion,UTP,2018-11-14,6,1,1,3,1
1039991,Improve | Marketing | Glasswing,Glasswing International,UTP,2018-11-14,3,0,1,1,1
1039998,Impulse | Education | Glasswing,Glasswing International,UTP,2018-11-14,15,0,12,3,0
1039681,Digital Marketing | Improve | Disautonomía Panama,Disautonomía Panama,UTP,2018-11-14,3,0,3,0,0
1039694,Digital Marketing | Improve | Disautonomía Panamá,Disautonomía Panama,UTP,2018-11-14,11,1,7,3,0
1039666,Digital Marketing | Improve | Make a Wish Panama,Make a Wish Panama,UTP,2018-11-13,1,0,0,0,1
1069779,Fundacion Palabra y Poder - Impulse Project,Palabra y Poder ,UTP,2019-02-27,2,0,2,0,0
1067138, Fundación Palabra y Poder - Impulse project ,Palabra y Poder ,UTP,2019-02-20,3,0,2,0,1
1085518,English Teacher | Impulse | Fundación Palabra y Poder,Palabra y Poder ,UTP,2019-03-14,9,1,6,2,0
1085526,Spanish Teacher | Impulse | Fundación Palabra y Poder,Palabra y Poder ,UTP,2019-03-14,1,0,0,0,1
1129490,Spanish Teacher| Impulse| Fundacion Palabra y Poder,Palabra y Poder ,UTP,2019-04-24,1,1,0,0,0
1085530,Math Teacher | Impulse | Fundación Palabra ,Palabra y Poder ,UTP,2019-03-14,1,0,0,0,1
1085645,Teach Information Technology | Impulse | Fundación Palabra,Palabra y Poder ,UTP,2019-03-14,3,1,2,0,0
1077691,Fundación Espacio Creativo - Teacher - Impulse project,Panama City,UTP,2019-03-07,4,0,4,0,0
997943,Punto Inicial / Public Relations / Improve Project,Panamá,UTP,2018-09-16,3,0,2,0,1
1113631,Punto Inicial/ Public Relation/ Improve Project,Panamá,UTP,2019-04-09,1,0,0,0,1
1113653,Punto Inicial / Public Relation / Impulse Proyect,Panamá,UTP,2019-04-09,1,0,0,0,1
997192,Digital marketing - Panamá para niños - Improve Project,Panama,UTP,2018-09-13,2,0,2,0,0
